Algorithm_Name,n,timeMs,comparisons,allocations,maxDepth
MergeSort,100,0.5925,615,1,4
MergeSort,500,0.1424,4509,1,6
MergeSort,1000,0.2708,10014,1,7
MergeSort,5000,0.9248,53947,1,10
MergeSort,10000,0.5553,114166,1,11
QuickSort,100,0.7348,654,0,4
QuickSort,500,0.2141,5514,0,5
QuickSort,1000,0.4303,10490,0,6
QuickSort,5000,0.8308,72252,0,7
QuickSort,10000,1.0192,156896,0,9
DeterministicSelect_FindMin,100,0.6411,744,10,5
DeterministicSelect_FindQ1,100,0.0159,609,8,5
DeterministicSelect_FindMedian,100,0.0161,736,11,5
DeterministicSelect_FindQ3,100,0.0156,715,10,6
DeterministicSelect_FindMax,100,0.0157,712,9,5
DeterministicSelect_FindMin,500,0.0819,4543,30,8
DeterministicSelect_FindQ1,500,0.09,4481,29,8
DeterministicSelect_FindMedian,500,0.0737,4330,26,7
DeterministicSelect_FindQ3,500,0.0763,4229,27,7
DeterministicSelect_FindMax,500,0.0724,4187,28,8
DeterministicSelect_FindMin,1000,0.1596,9088,43,9
DeterministicSelect_FindQ1,1000,0.1488,8979,41,9
DeterministicSelect_FindMedian,1000,0.1676,9040,42,9
DeterministicSelect_FindQ3,1000,0.1168,7081,28,8
DeterministicSelect_FindMax,1000,0.1032,9157,46,9
DeterministicSelect_FindMin,5000,0.3721,46927,118,11
DeterministicSelect_FindQ1,5000,0.3641,46964,119,11
DeterministicSelect_FindMedian,5000,1.232,46067,104,10
DeterministicSelect_FindQ3,5000,1.5336,46316,110,11
DeterministicSelect_FindMax,5000,0.925,45880,110,11
DeterministicSelect_FindMin,10000,2.2539,96920,179,13
DeterministicSelect_FindQ1,10000,1.8568,97333,184,12
DeterministicSelect_FindMedian,10000,0.7973,98021,187,12
DeterministicSelect_FindQ3,10000,0.9346,97138,174,12
DeterministicSelect_FindMax,10000,0.3562,97381,180,12
ClosestPair,100,2.3523,1439,247,7
ClosestPair,500,5.3971,12486,1703,9
ClosestPair,1000,3.1434,27671,3411,10
ClosestPair,5000,17.0036,191629,14331,12
ClosestPair,10000,31.3315,418070,28667,13
